Run,EventID,RA [deg],Dec [deg],RA_50_min [deg],RA_50_max [deg],Dec_50_min [deg],Dec_50_max [deg],RA_90_min [deg],RA_90_max [deg],Dec_90_min [deg],Dec_90_max [deg],Contour Area (50%) [sqdeg],Contour Area (90%) [sqdeg]
124340,19400842,308.76,38.68,0.87,0.88,0.40,0.62,0.87,0.88,0.40,0.62,1.031657336253557,3.6163554748585525
124463,35466777,225.86,50.97,0.65,0.59,0.48,0.44,0.65,0.59,0.48,0.44,0.5594146750854738,1.8929333755659274
124547,66087371,28.57,84.74,22.01,25.95,1.71,1.76,22.01,25.95,1.71,1.76,11.334578833177176,38.89977207668897
124569,22040903,146.07,16.72,0.41,0.41,0.46,0.42,0.41,0.41,0.46,0.42,0.5418851843309379,1.8398642991872265
124643,5182926,9.05,18.17,0.66,0.59,0.48,0.48,0.66,0.59,0.48,0.48,0.8726711576855384,2.9524723558830903
124693,33063779,161.22,45.19,0.81,0.83,0.93,0.91,0.81,0.83,0.93,0.91,1.6611197260081967,5.701718469495394
124829,42577032,9.76,7.48,0.28,0.25,0.26,0.29,0.28,0.25,0.26,0.29,0.2243031710919638,0.723241138248744
124852,74171655,105.29,1.27,1.07,0.84,0.33,0.29,1.07,0.84,0.33,0.29,0.8993780130820634,3.102913245902156
124994,15096469,157.80,54.92,1.11,1.20,0.86,0.87,1.11,1.20,0.86,0.87,1.7942290356527855,5.939467448994404
125001,73159253,26.76,2.31,0.69,0.66,0.40,0.41,0.69,0.66,0.40,0.41,0.8396031898217985,2.998537994732739
125011,43302321,242.23,14.59,0.29,0.36,0.34,0.32,0.29,0.36,0.34,0.32,0.3245347011863738,1.113792484774873
125046,64570437,1.05,15.64,0.26,0.31,0.27,0.31,0.26,0.31,0.27,0.31,0.2434080516173968,0.814495773684722
125071,31397276,98.79,-31.61,1.54,1.59,1.35,1.62,1.54,1.59,1.35,1.62,5.973154511691674,19.947854235144057
125205,19617837,272.15,1.42,0.32,0.27,0.30,0.30,0.32,0.27,0.30,0.30,0.2746050927568104,0.9045740380963002
125338,65606123,169.41,-1.72,0.26,0.32,0.25,0.29,0.26,0.32,0.25,0.29,0.23615468948288748,0.7939397136436886
125349,12316485,50.71,-0.63,1.07,1.11,0.41,0.37,1.07,1.11,0.41,0.37,1.2787217207356136,4.215424280738248
125422,26630854,65.87,4.48,1.36,1.21,0.83,0.71,1.36,1.21,0.83,0.71,3.007237000375177,9.609060944019031
125544,54236696,253.92,6.43,0.25,0.36,0.22,0.22,0.25,0.36,0.22,0.22,0.20836100436073898,0.7160459391489804
125693,21174828,246.84,17.27,0.27,0.28,0.30,0.25,0.27,0.28,0.30,0.25,0.22668735882984042,0.7636517257300505
125757,12938244,179.38,-2.05,0.23,0.29,0.28,0.28,0.23,0.29,0.28,0.28,0.22787555469270915,0.7813443191976076
125929,11025256,152.01,4.03,0.18,0.60,0.27,0.24,0.18,0.60,0.27,0.24,0.3123323608482683,0.9855061405165856
125934,55750717,287.05,6.47,0.28,0.24,0.24,0.28,0.28,0.24,0.24,0.28,0.20776824859217402,0.701104968729483
125940,7449833,96.11,14.25,0.23,0.28,0.26,0.25,0.23,0.28,0.26,0.25,0.19467738749222743,0.6644772494186514
125968,61389842,100.37,4.41,0.52,0.44,0.30,0.33,0.52,0.44,0.30,0.33,0.4651357698157062,1.6061394874174526
125973,80686964,356.79,8.54,1.64,0.92,0.70,1.00,1.64,0.92,0.70,1.00,3.2813313391318792,10.458548974886128
126082,40384770,236.95,55.06,0.80,0.78,0.82,0.74,0.80,0.78,0.82,0.74,1.1071940682131334,3.8188332246324643
126148,74589372,127.18,-3.55,0.40,0.45,0.51,0.50,0.40,0.45,0.51,0.50,0.6755970414548635,2.1517076139541764
126308,20883844,29.88,15.52,0.37,0.40,0.38,0.30,0.37,0.40,0.38,0.30,0.38035053840284194,1.2671491953838054
126370,61611641,92.15,12.79,0.23,0.27,0.31,0.28,0.23,0.27,0.31,0.28,0.2157672268658324,0.7120668716813247
126423,50123696,333.54,9.48,0.25,0.31,0.30,0.29,0.25,0.31,0.30,0.29,0.25739965186076147,0.8652489204814422
126456,1581608,50.10,-0.11,0.30,0.50,0.49,0.28,0.30,0.50,0.49,0.28,0.39373801178797135,1.320387981826684
126514,73786337,72.99,0.82,0.34,0.44,0.31,0.36,0.34,0.44,0.31,0.36,0.4087609036487182,1.3707125608296138
126515,20091930,306.96,18.60,0.54,0.77,0.39,0.39,0.54,0.77,0.39,0.39,0.7365372784570742,2.2818644725467645
126717,29833358,318.74,31.65,0.52,0.52,0.33,0.31,0.52,0.52,0.33,0.31,0.4349740068165634,1.4696203014844444
126718,53509959,328.80,5.94,0.31,0.25,0.27,0.24,0.31,0.25,0.27,0.24,0.22084389389815465,0.7672182847367797
126769,62990844,325.55,-2.20,0.32,0.28,0.30,0.28,0.32,0.28,0.30,0.28,0.2724228780865675,0.9296167903924434
126812,38566267,133.55,27.45,0.42,0.31,0.22,0.34,0.42,0.31,0.22,0.34,0.27408197877056095,0.9679954887065801
126848,8902133,130.30,30.52,0.32,0.30,0.31,0.30,0.32,0.30,0.31,0.30,0.257119313113867,0.8746609746601683
126860,17477746,48.78,-2.99,0.29,0.31,0.26,0.30,0.29,0.31,0.26,0.30,0.2604622730716508,0.8883586636576398
126863,14025085,280.46,30.35,0.53,0.50,0.43,0.41,0.53,0.50,0.43,0.41,0.5858136294450172,1.9878332315245566
126878,30560694,103.49,3.51,0.27,0.27,0.23,0.23,0.27,0.27,0.23,0.23,0.1888588641392823,0.6158267309189205
126911,6416344,193.93,-4.48,0.49,0.43,0.46,0.45,0.49,0.43,0.46,0.45,0.6146962720320832,2.095513282337747
126976,9961785,179.73,51.79,0.72,0.76,0.53,0.59,0.72,0.76,0.53,0.59,0.7590262569803287,2.4742171679460943
